CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,41,25,1
2,Female,69,78,76
3,Female,28,85,20
4,Female,66,88,96
5,Male,25,36,23
6,Male,53,92,17
7,Male,55,102,88
8,Female,57,78,1
9,Female,37,31,82
10,Female,52,26,87
11,Male,65,102,65
12,Female,42,78,31
13,Female,52,18,23
14,Male,42,80,75
15,Male,46,15,86
16,Male,35,20,100
17,Male,63,78,81
18,Female,35,86,22
19,Male,19,27,75
20,Male,52,100,11
21,Female,33,32,88
22,Male,58,20,71
23,Male,53,47,50
24,Male,50,28,75
25,Female,21,15,24
26,Female,50,99,83
27,Male,31,94,90
28,Female,38,81,14
29,Female,65,15,77
30,Male,37,35,10
31,Female,25,84,15
32,Male,24,64,53
33,Male,20,72,27
34,Female,34,80,10
35,Female,50,25,88
36,Female,65,55,63
37,Male,29,81,24
38,Male,68,29,38
39,Female,39,16,12
40,Female,39,83,67
41,Male,63,55,32
42,Female,47,59,64
43,Male,55,90,86
44,Female,55,76,19
45,Male,62,42,52
46,Female,68,35,8
47,Male,25,27,44
48,Female,44,19,81
49,Female,44,67,51
50,Male,51,85,27
51,Female,38,94,84
52,Female,47,85,82
53,Female,50,101,12
54,Female,45,39,84
55,Female,64,83,98
56,Female,50,62,63
57,Male,22,30,95
58,Male,65,65,44
59,Male,36,17,10
60,Male,21,30,78
61,Male,52,93,80
62,Male,66,15,90
63,Female,34,15,63
64,Male,61,15,95
65,Male,45,22,78
66,Female,47,60,45
67,Male,46,37,9
68,Female,63,85,3
69,Male,23,38,88
70,Female,52,73,80
71,Female,58,15,67
72,Male,54,84,67
73,Male,41,58,46
74,Female,46,84,96
75,Female,66,68,17
76,Female,63,24,4
77,Female,48,74,77
78,Male,52,90,77
79,Male,50,27,1
80,Male,69,77,19
81,Female,38,20,77
82,Female,49,76,86
83,Male,40,24,38
84,Male,50,62,61
85,Male,20,17,17
86,Male,35,59,38
87,Female,42,80,45
88,Female,59,18,80
89,Female,48,24,20
90,Female,20,76,79
91,Male,57,80,21
92,Female,63,15,18
93,Female,41,100,74
94,Female,67,25,14
95,Female,49,49,49
96,Female,64,26,14
97,Female,39,24,12
98,Male,40,23,21
99,Male,19,89,17
100,Male,44,31,35
101,Male,59,80,53
102,Female,19,50,60
103,Male,43,52,62
104,Female,34,15,1
105,Female,57,72,16
106,Male,50,95,16
107,Male,26,98,65
108,Female,60,23,12
109,Male,65,59,38
110,Male,56,87,37
111,Male,46,49,29
112,Male,59,93,32
113,Female,43,83,27
114,Female,52,47,38
115,Female,67,15,74
116,Female,42,86,84
117,Female,41,78,67
118,Male,30,43,57
119,Female,24,79,17
120,Female,53,16,16
121,Female,62,98,27
122,Female,37,62,54
123,Male,18,84,76
124,Male,25,96,31
125,Male,63,85,69
126,Male,33,18,26
127,Female,31,97,85
128,Female,29,89,76
129,Male,68,16,83
130,Female,40,23,67
131,Male,32,17,89
132,Male,45,73,78
133,Male,51,62,44
134,Male,19,100,90
135,Female,49,43,42
136,Male,40,59,35
137,Female,39,19,64
138,Female,68,81,26
139,Male,42,20,7
140,Female,39,18,97
141,Female,39,25,59
142,Male,66,78,36
143,Female,69,27,22
144,Male,59,84,79
145,Male,23,83,74
146,Male,32,17,83
147,Female,60,20,19
148,Female,54,31,91
149,Male,50,59,51
150,Male,25,17,81
151,Female,61,25,76
152,Male,61,91,79
153,Male,22,71,83
154,Female,56,89,62
155,Female,21,49,36
156,Male,23,89,87
157,Female,62,18,21
158,Female,49,70,18
159,Male,69,15,20
160,Female,47,25,23
161,Male,64,87,74
162,Female,52,77,12
163,Female,57,90,21
164,Female,69,71,10
165,Male,33,54,54
166,Female,30,75,62
167,Male,67,79,30
168,Male,59,55,54
169,Male,47,18,82
170,Female,36,21,89
171,Female,34,63,66
172,Male,36,50,60
173,Female,45,91,61
174,Male,43,75,67
175,Female,54,29,73
176,Male,43,96,20
177,Female,40,15,85
178,Male,26,78,12
179,Female,29,89,21
180,Male,18,83,72
181,Male,18,27,13
182,Male,64,20,5
183,Female,51,55,40
184,Female,49,83,66
185,Male,65,94,10
186,Female,42,27,30
187,Female,57,87,10
188,Female,62,21,46
189,Female,18,21,24
190,Male,33,21,21
191,Male,56,88,71
192,Female,22,21,87
193,Female,39,87,14
194,Female,46,101,81
195,Male,20,91,100
196,Male,29,82,79
197,Female,43,94,91
198,Female,33,81,72
199,Female,68,38,49
200,Female,54,76,37
